Title;GGS Rating
CONFERENCE ON HUMAN SYSTEM INTERACTIONS;Work in Progress
COMPUTATIONAL INTELLIGENCE;Work in Progress
COOPERATIVE INFORMATION AGENTS;Work in Progress
INTERNATIONAL CONFERENCE ON IMPLEMENTATION AND APPLICATION OF AUTOMATA;Work in Progress
INTERNATIONAL CONFERENCE ON ALGORITHMS AND COMPLEXITY;Work in Progress
IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION;Work in Progress
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON COMMUNICATIONS IN COMPUTING;Work in Progress
CUSTOM INTEGRATED CIRCUITS CONFERENCE;B
CONFERENCE ON INTELLIGENT TEXT PROCESSING AND COMPUTATIONAL LINGUISTICS;B-
CONFERENCE ON INTELLIGENT COMPUTER MATHEMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND COMMUNICATION NETWORKS;Work in Progress
COMPUTATIONAL INTELLIGENCE, COMMUNICATION SYSTEMS AND NETWORKS;Work in Progress
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND DATA MINING;Work in Progress
CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH;A
COMPUTABILITY IN EUROPE CONFERENCE;B-
INTERNATIONAL POWER ELECTRONICS CONGRESS;Work in Progress
COMPUTATIONAL INTELLIGENCE AND GAMES;B
ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT;A+
INTERNATIONAL WORKSHOP ON COMBINATIONS OF INTELLIGENT METHODS AND APPLICATIONS;Work in Progress
COMPUTATIONAL INTELLIGENCE FOR MODELLING, CONTROL AND AUTOMATION;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE FOR MEASUREMENT SYSTEMS AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE, MODELLING AND SIMULATION;Work in Progress
COMPUTING IN CARDIOLOGY CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON CRITICAL INFRASTRUCTURE PROTECTION;Work in Progress
COMPUTATIONAL INTELLIGENCE IN ROBOTICS AND AUTOMATION;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SECURITY;B-
COMPUTER INFORMATION SYSTEMS AND INDUSTRIAL MANAGEMENT APPLICATIONS;Work in Progress
COMPLEX, INTELLIGENT AND SOFTWARE INTENSIVE SYSTEMS;Work in Progress
INTERNATIONAL CONGRESS ON IMAGE AND SIGNAL PROCESSING;Work in Progress
CONFERENCE ON INFORMATION SCIENCES AND SYSTEMS;Work in Progress
IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES;Work in Progress
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN SCHEDULING;Work in Progress
COMPUTER AND INFORMATION TECHNOLOGY;B-
INTERNATIONAL CONFERENCE ON IT IN ASIA;Work in Progress
CONFERENCE ON IMAGE AND VIDEO RETRIEVAL;A-
CONCEPT LATTICES AND THEIR APPLICATIONS;Work in Progress
CROSS LANGUAGE EVALUATION FORUM WORKSHOP;B
CONFERENCIA LATINOAMERICANA DE INFORMÁTICA;Work in Progress
CONFERENCE ON LASERS AND ELECTRO-OPTICS;Work in Progress
LATIN AMERICAN CONFERENCE ON HUMAN-COMPUTER INTERACTION;Work in Progress
INTERNATIONAL WORKSHOP ON COMPUTATIONAL LOGIC IN MULTI-AGENT SYSTEMS;Work in Progress
COMPUTATIONAL LINGUISTICS IN THE NETHERLANDS;Work in Progress
WORKSHOP ON CROSS-LANGUAGE INFORMATION PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON CLOUD COMPUTING AND SERVICES SCIENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING;A-
IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING TECHNOLOGY AND SCIENCE;B
INTERNATIONAL CONFERENCE ON LOGIC PROGRAMMING;Not Rated (now published as journal)
CLUSTER COMPUTING CONFERENCE;A
COMMUNICATIONS AND MOBILE COMPUTING;Work in Progress
CONFERENCE ON MULTIMEDIA COMPUTING AND NETWORKING;Work in Progress
INTERNATIONAL CONFERENCE ON CONDITION MONITORING AND DIAGNOSIS;Work in Progress
IEEE/ICME INTERNATIONAL CONFERENCE ON COMPLEX MEDICAL ENGINEERING;Work in Progress
INTERNATIONAL SYMPOSIUM ON COMPUTER MUSIC MODELING AND RETRIEVAL;Work in Progress
CONGRESS ON MODELLING AND SIMULATION;Work in Progress
COMPUTATIONAL METHODS IN SYSTEMS BIOLOGY;Work in Progress
INTERNATIONAL SCIENCE CONFERENCE ON COMPUTER NETWORKS;Work in Progress
COMMUNICATIONS AND NETWORKING SYMPOSIUM;Work in Progress
CONFERENCE ON NETWORK AND SERVICE MANAGEMENT;B-
CONFERENCE ON COMMUNICATION NETWORKS AND SERVICES RESEARCH;Work in Progress
CONFERENCE ON COMBINATORIAL OPTIMIZATION AND APPLICATIONS;Work in Progress
COMPUTING AND COMBINATORICS CONFERENCE;Work in Progress
CONFERENCE ON ORGANIZATIONAL COMPUTING SYSTEMS;Work in Progress
CONFERENCE ON DATA AND APPLICATION SECURITY AND PRIVACY;Work in Progress
INTERNATIONAL CONFERENCE ON HARDWARE/SOFTWARE CODESIGN AND SYSTEM SYNTHESIS;B
CONFERENCE ON GAMES (WAS COMPUTATIONAL INTELLIGENCE AND GAMES CIG);Work in Progress
IEEE INTERNATIONAL CONFERENCE ON COGNITIVE INFOCOMMUNICATIONS;Work in Progress
INTERNATIONAL WORKSHOP ON COORDINATION, ORGANIZATIONS, INSTITUTIONS, NORMS AND ETHICS FOR GOVERNANCE OF MULTI-AGENT SYSTEMS (ETHICS ADDED 2020);Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL LINGUISTICS;A
COLLABORATIVE COMPUTING;Work in Progress
CONFERENCE ON LEARNING THEORY;A+
INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA;Work in Progress
COMPUTATIONAL MODELS OF ARGUMENT;Work in Progress
WORKSHOP ON CONTROL AND MODELING FOR POWER ELECTRONICS;Work in Progress
ANNUAL EUROPEAN COMPUTER CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON COMPLEXITY, FUTURE INFORMATION SYSTEMS AND RISK;Work in Progress
INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL LIFE SCIENCE;Work in Progress
ANNUAL INTERNATIONAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE;B
COMPUTER SYSTEMS AND TECHNOLOGIES;Work in Progress
COMMUNICATION SYSTEMS AND NETWORKS;Work in Progress
COMMUNICATION SYSTEM SOFTWARE AND MIDDLEWARE;Work in Progress
INTERNATIONAL CONFERENCE ON CONCURRENCY THEORY;A
ACM INTERNATIONAL CONFERENCE ON EMERGING NETWORKING EXPERIMENTS AND TECHNOLOGIES;A
INTERNATIONAL CONFERENCE ON INFORMATION RESOURCES MANAGEMENT;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRONICS, COMMUNICATIONS, AND COMPUTERS;Work in Progress
CONFERENCE ON COMPUTATIONAL NATURAL LANGUAGE LEARNING;A
JOINT INTERNATIONAL CONFERENCE ON VECTOR AND PARALLEL PROCESSING: PARALLEL PROCESSING;Work in Progress
INTERNATIONAL AND INTERDISCIPLINARY CONFERENCE ON MODELLING AND USING CONTEXT;Work in Progress
UKACC INTERNATIONAL CONFERENCE ON CONTROL;Work in Progress
IEEE COOL CHIPS;Work in Progress
INTERNATIONAL CONFERENCE ON THE DESIGN OF COOPERATIVE SYSTEMS;Work in Progress
COOPERATIVE INFORMATION SYSTEMS;B
INTERNATIONAL CONFERENCE ON COORDINATION MODELS AND LANGUAGES;Work in Progress
USENIX CONFERENCE ON OBJECT-ORIENTED TECHNOLOGIES AND SYSTEMS;Work in Progress
WORKSHOP ON CONSTRAINT SATISFACTION FOR PLANNING AND SCHEDULING;Work in Progress
COMPUTER RECOGNITION SYSTEMS;Work in Progress
INTERNATIONAL WORKSHOP CONSTRUCTIVE SIDE-CHANNEL ANALYSIS AND SECURE DESIGN;Work in Progress
CONFERENCE ON SPATIAL INFORMATION THEORY;A-
CONFERENCE ON ONLINE SOCIAL NETWORKS;Work in Progress
INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING;A
INTEGRATION OF AI AND OR TECHNIQUES IN CONSTRAINT PROGRAMMING;B-
CONFERENCE ON PRECISION ELECTROMAGNETIC MEASUREMENTS;Work in Progress
COMBINATORIAL PATTERN MATCHING;B
CERTIFIED PROGRAMS AND PROOFS;Work in Progress
ACM SIGCPR/SIGMIS CONFERENCE ON COMPUTER PERSONNEL RESEARCH;Work in Progress
CONFERENCE FOR PROTECTIVE RELAY ENGINEERS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER RESEARCH AND DEVELOPMENT;Work in Progress
CRITICAL INFORMATION INFRASTRUCTURES SECURITY;Work in Progress
INTERNATIONAL WORKSHOP ON GROUPWARE;Work in Progress
INTERNATIONAL CONFERENCE ON COGNITIVE RADIO ORIENTED WIRELESS NETWORKS AND COMMUNICATIONS;B
CANADIAN CONFERENCE ON COMPUTER AND ROBOT VISION;Work in Progress
ADVANCES IN CRYPTOLOGY;A++
INTERNATIONAL CONFERENCE ON RISKS AND SECURITY OF INTERNET AND SYSTEMS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND AUTOMATION ENGINEERING;Work in Progress
COMPUTATIONAL SYSTEMS BIOINFORMATICS;Not Rated (discontinued event)
INTERNATIONAL CONFERENCE ON COMPUTER SCIENCES AND CONVERGENCE INFORMATION TECHNOLOGY;Work in Progress
COMPUTER SUPPORTED COLLABORATIVE LEARNING;A-
INTERNATIONAL CONFERENCE ON CYBER SECURITY AND CLOUD COMPUTING;Work in Progress
IEEE CONFERENCE ON STANDARDS FOR COMMUNICATIONS AND NETWORKING;Work in Progress
ACM CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK;A+
INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN;B-
COMPUTATIONAL SCIENCE AND ENGINEERING;B-
INTERNATION CONFERENCE ON COMPUTER SUPPORTED EDUCATION;Work in Progress
CONFERENCE ON SOFTWARE ENGINEERING EDUCATION AND TRAINING;Work in Progress
IEEE COMPUTER SECURITY FOUNDATIONS SYMPOSIUM;A
IEEE COMPUTER SECURITY FOUNDATIONS WORKSHOP;Work in Progress
IEEE COMPUTER SOCIETY INTERNATIONAL CONFERENCE;Work in Progress
INTERNATIONAL CSI COMPUTER CONFERENCE;Work in Progress
COMPOUND SEMICONDUCTOR INTEGRATED CIRCUIT SYMPOSIUM;Work in Progress
COMPUTER SCIENCE AND INFORMATION ENGINEERING;Work in Progress
CYBER SECURITY AND INFORMATION INTELLIGENCE RESEARCH WORKSHOP;Work in Progress
COMPUTER SCIENCES AND INFORMATION TECHNOLOGIES;Work in Progress
ANNUAL CONFERENCE ON COMPUTER SCIENCE LOGIC;B
CONFERENCE ON SOFTWARE MAINTENANCE AND REENGINEERING;Not Rated (discontinued event)
IEEE INTERNATIONAL CONFERENCE ON COMMUNICATION SOFTWARE AND NETWORKS;Work in Progress
COMMUNICATION SYSTEMS NETWORKS AND DIGITAL SIGNAL PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON COMMUNICATION SYSTEMS AND NETWORK TECHNOLOGIES;Work in Progress
COMPUTATIONAL SCIENCES AND OPTIMIZATION;Work in Progress
INTERNATIONAL COLLOQUIUM ON SIGNAL PROCESSING AND ITS APPLICATIONS;Work in Progress
COMPUTER SCIENCE SYMPOSIUM IN RUSSIA;Work in Progress
COMPUTATIONAL SOCIAL SCIENCE;Work in Progress
COMPUTER SCIENCE AND SOFTWARE ENGINEERING;Work in Progress
RSA CONFERENCE;B
COLLABORATION TECHNOLOGIES AND SYSTEMS;Work in Progress
COLOGNE-TWENTE WORKSHOP ON GRAPHS AND COMBINATORIAL OPTIMIZATION;Work in Progress
CONFERENCE ON UNIVERSAL USABILITY;Work in Progress
IEEE VGTC CONFERENCE ON VISUALIZATION;Work in Progress
COLLABORATIVE VIRTUAL ENVIRONMENTS;Work in Progress
CONFERENCE ON VISUAL MEDIA PRODUCTION;Work in Progress
IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION;A++
CYBERWORLDS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON CYBER TECHNOLOGY IN AUTOMATION, CONTROL, AND INTELLIGENT SYSTEMS;Work in Progress
CYBER-ENABLED DISTRIBUTED COMPUTING AND KNOWLEDGE DISCOVERY;Work in Progress
INTERNATIONAL CONFERENCE ON CYBER CONFLICT;Work in Progress
INTERNATIONAL CONFERENCE ON CONTROL, DECISION AND INFORMATION TECHNOLOGIES;Work in Progress
IEEE CONFERENCE ON COGNITIVE AND COMPUTATIONAL ASPECTS OF SITUATION MANAGEMENT;Work in Progress
ANNUAL CONFERENCE OF THE COGNITIVE SCIENCE SOCIETY;B
DESIGN AUTOMATION CONFERENCE;A
DIGITAL AUDIO EFFECTS CONFERENCE;B-
DAGM CONFERENCE ON PATTERN RECOGNITION;Work in Progress
IFIP INTERNATIONAL CONFERENCE ON DISTRIBUTED APPLICATIONS AND INTEROPERABLE SYSTEMS;Work in Progress
DECLARATIVE AGENT LANGUAGES AND TECHNOLOGIES;Work in Progress
INTERNATIONAL WORKSHOP ON DISCRETE ALGORITHMS AND METHODS FOR MOBILE COMPUTING AND COMMUNICATIONS;Work in Progress
DATA MANAGEMENT ON NEW HARDWARE;Work in Progress
DARPA INFORMATION SURVIVABILITY CONFERENCE AND EXPOSITION;Work in Progress
DISTRIBUTED AUTONOMOUS ROBOTIC SYSTEMS;Work in Progress
INTERNATIONAL WORKSHOP ON DOCUMENT ANALYSIS SYSTEMS;B
IEEE INTERNATIONAL SYMPOSIUM ON DEPENDABLE, AUTONOMIC AND SECURE COMPUTING;Work in Progress
DATABASE SYSTEMS FOR ADVANCED APPLICATIONS;B
INTERNATIONAL CONFERENCE ON DATA SCIENCE, TECHNOLOGY AND APPLICATIONS;Work in Progress
DESIGN, AUTOMATION AND TEST IN EUROPE CONFERENCE;A
DATA WAREHOUSING AND KNOWLEDGE DISCOVERY;B
INTERNATIONAL BALTIC CONFERENCE ON DATABASES AND INFORMATION SYSTEMS;Work in Progress
DATABASES, INFORMATION SYSTEMS, AND PEER-TO-PEER COMPUTING;Work in Progress
DATABASE PROGRAMMING LANGUAGES;B-
IFIP WG 11.3 WORKING CONFERENCE ON DATA AND APPLICATIONS SECURITY (ALSO KNOWN AS DBSEC);B-
INTERNATIONAL CONFERENCE ON DUBLIN CORE AND METADATA APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE;Work in Progress
DATA COMPRESSION CONFERENCE;B
INTERNATIONAL WORKSHOP ON DEVELOPMENTS IN COMPUTATIONAL MODELS;Work in Progress
DISTRIBUTED COMPUTING IN SENSOR SYSTEMS;B
IEEE INTERNATIONAL CARACAS CONFERENCE ON DEVICES, CIRCUITS AND SYSTEMS;Work in Progress
DESIGN AND DIAGNOSTICS OF ELECTRONIC CIRCUITS AND SYSTEMS;Work in Progress
DISTRIBUTED EVENT-BASED SYSTEMS;B-
SYMPOSIUM/WORKSHOP ON ELECTRONIC DESIGN, TEST AND APPLICATIONS;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON DIAGNOSTICS FOR ELECTRIC MACHINES, POWER ELECTRONICS AND DRIVES;Work in Progress
DEONTIC LOGIC IN COMPUTER SCIENCE;Work in Progress
INTERNATIONAL CONFERENCE ON DEPENDABILITY OF COMPUTER SYSTEMS;Work in Progress
INTERNATIONAL WORKSHOP ON DISCRETE EVENT SYSTEMS;Work in Progress
DESIGN SCIENCE RESEARCH IN INFORMATION SYSTEMS AND TECHNOLOGY;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON DIGITAL ECOSYSTEMS AND TECHNOLOGIES;Work in Progress
DATABASE AND EXPERT SYSTEMS APPLICATIONS;B
DIGITAL FORENSIC RESEARCH WORKSHOP;Work in Progress
DEFECT AND FAULT TOLERANCE IN VLSI AND NANOTECHNOLOGY SYSTEMS;B
DIGITAL GEOMETRY FOR COMPUTER IMAGERY;Work in Progress
INTERNATIONAL CONFERENCE ON DIGITAL GOVERNMENT RESEARCH;Work in Progress
INTERNATIONAL CONFERENCE ON DIGITAL HUMAN MODELING;Work in Progress
THE THEORY AND APPLICATION OF DIAGRAMS;Work in Progress
IEEE INTERNATIONAL D SYSTEMS INTEGRATION CONFERENCE;Work in Progress
DIGITAL IMAGE COMPUTING TECHNIQUES AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION AND COMMUNICATION TECHNOLOGY AND ITS APPLICATIONS;Work in Progress
DIGITAL GAMES RESEARCH ASSOCIATION CONFERENCE;Work in Progress
DATA INTEGRATION IN THE LIFE SCIENCES;Work in Progress
DIGITAL IDENTITY MANAGEMENT;Work in Progress
GI INTERNATIONAL CONFERENCE ON DETECTION OF INTRUSIONS AND MALWARE AND VULNERABILITY ASESSMENT;B
INTERNATIONAL CONFERENCE ON DIGITAL IMAGE PROCESSING;Work in Progress
DESIGNING INTERACTIVE SYSTEMS;A-
INTERNATIONAL SYMPOSIUM ON DISTRIBUTED COMPUTING;B
ACM INTERNATIONAL CONFERENCE ON DIGITAL LIBRARIES;Work in Progress
DYNAMIC LANGUAGES SYMPOSIUM;Work in Progress
DEVELOPMENTS IN LANGUAGE THEORY;B-
SIAM CONFERENCE ON DISCRETE MATHEMATICS;Work in Progress
DISTRIBUTED MEMORY COMPUTING CONFERENCE;Work in Progress
DISTRIBUTED MULTIMEDIA SYSTEMS;Work in Progress
DATA MANAGEMENT FOR SENSOR NETWORKS;Work in Progress
INTERNATIONAL WORKSHOP ON DNA-BASED COMPUTERS;Work in Progress
DNA COMPUTING AND MOLECULAR PROGRAMMING;B-
DATABASES IN NETWORKED INFORMATION SYSTEMS;Work in Progress
ACM SYMPOSIUM ON DOCUMENT ENGINEERING;B-
INTERNATIONAL WORKSHOP ON DATA WAREHOUSING AND OLAP;A-
INTERNATIONAL CONFERENCE ON DEDUCTIVE AND OBJECT-ORIENTED DATABASES;Not Rated (discontinued event)
DESIGNING PLEASURABLE PRODUCTS AND INTERFACES;Work in Progress
DESIGN OF RELIABLE COMMUNICATION NETWORKS;Work in Progress
ACM DIGITAL RIGHTS MANAGEMENT WORKSHOP;Not Rated (discontinued event)
IEEE INTERNATIONAL CONFERENCE ON ELECTRIC UTILITY DEREGULATION, RESTRUCTURING AND POWER TECHNOLOGIES;Work in Progress
DOCUMENT RECOGNITION AND RETRIEVAL;Work in Progress
DISCOVERY SCIENCE;Work in Progress
DISTRIBUTED SIMULATION AND REAL-TIME APPLICATIONS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ADVANCED ANALYTICS;Work in Progress
DIGITAL SYSTEMS DESIGN;Work in Progress
CONFERENCE ON DOMAIN-SPECIFIC LANGUAGES;Work in Progress
WORKSHOP ON DOMAIN SPECIFIC MODELLING;Work in Progress
DEPENDABLE SYSTEMS AND NETWORKS;A
DISTRIBUTED SYSTEMS: OPERATIONS AND MANAGEMENT;Work in Progress
INTERNATIONAL CONFERENCE ON DIGITAL SIGNAL PROCESSING;B
SYMPOSIUM ON DESIGN, TEST, INTEGRATION AND PACKAGING OF MEMS/MOEMS;Work in Progress
INTERNATIONAL WORKSHOP ON PRINCIPLES OF DIAGNOSIS;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON DYNAMIC SPECTRUM ACCESS NETWORKS;B-
"FACHTAGUNG ""E-LEARNING"" DER GESELLSCHAFT FÜR INFORMATIK";Work in Progress
DEVELOPMENTS IN ESYSTEMS ENGINEERING;Work in Progress
ENERGY-EFFICIENT COMPUTING AND NETWORKING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON E-SCIENCE AND GRID COMPUTING;B-
INTERNATIONAL WORKSHOP ON ENVIRONMENTS FOR MULTIAGENT SYSTEMS;Work in Progress
CONFERENCE OF THE EUROPEAN CHAPTER OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS;A
INTERNATIONAL CONFERENCE ON EMERGING APPLICATIONS OF INFORMATION TECHNOLOGY;Work in Progress
CONFERENCE OF THE EUROPEAN ASSOCIATION FOR MACHINE TRANSLATION;Work in Progress
INTERNATIONAL CONFERENCE ON ENGINEERING APPLICATIONS OF NEURAL NETWORKS;Work in Progress
INTERNATIONAL CONFERENCE ON EVALUATION AND ASSESSMENT IN SOFTWARE ENGINEERING;B-
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS;Work in Progress
ACM CONFERENCE ON ECONOMICS AND COMPUTATION;A+
EUROPEAN CONFERENCE ON TECHNOLOGY ENHANCED LEARNING;B-
ELECTRONIC COMMERCE AND WEB TECHNOLOGIES;Work in Progress
EUROPEAN CONFERENCE ON APPLICATIONS OF EVOLUTIONARY COMPUTATION;Work in Progress
EUROPEAN CONFERENCE ON ARTIFICIAL INTELLIGENCE;A-
EUROPEAN CONFERENCE ON ARTIFICIAL LIFE;B
ANNUAL IEEE INTERNATIONAL CONFERENCE AND WORKSHOP ON THE ENGINEERING OF COMPUTER BASED SYSTEMS;Not Rated (discontinued event)
EUROPEAN CONTROL CONFERENCE;B
EUROPEAN CONFERENCE ON COMPUTATIONAL BIOLOGY;B
EUROPEAN CONFERENCE ON COGNITIVE ERGONOMICS;Work in Progress
EUROPEAN CONFERENCE ON EVOLUTIONARY COMPUTATION IN COMBINATORIAL OPTIMIZATION;B-
EUROPEAN CONFERENCE ON CIRCUIT THEORY AND DESIGN;Work in Progress
EUROPEAN CONFERENCE ON COMPUTER VISION;A++
EUROPEAN CONFERENCE ON DIGITAL GOVERNMENT (WAS EUROPEAN CONFERENCE ON E-GOVERNMENT ECEG);Work in Progress
INTERNATIONAL SYMPOSIUM ON ENVIRONMENTALLY CONSCIOUS DESIGN AND INVERSE MANUFACTURING;Work in Progress
EUROPEAN CONFERENCE ON RESEARCH AND ADVANCED TECHNOLOGY FOR DIGITAL LIBRARIES;Work in Progress
EUROPEAN CONFERENCE AND EXHIBITION ON OPTICAL COMMUNICATIONS;Work in Progress
EUROPEAN CONFERENCE ON INFORMATION RETRIEVAL;A-
EUROPEAN CONFERENCE ON INFORMATION SYSTEMS;B
EUROPEAN CONFERENCE ON LOGICS IN ARTIFICIAL INTELLIGENCE;B-
EUROPEAN CONFERENCE ON MODEL DRIVEN ARCHITECTURE FOUNDATIONS AND APPLICATIONS;B-
EUROPEAN CONFERENCE ON MODELLING FOUNDATIONS AND APPLICATIONS;Work in Progress
EUROPEAN CONFERENCE ON MACHINE LEARNING;A
EUROPEAN CONFERENCE ON MOBILE ROBOTS;Work in Progress
INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION (WAS ESM EUROPEAN SIMULATION MULTICONFERENCE);Work in Progress
EUROPEAN CONFERENCE ON OPTICAL COMMUNICATION;Work in Progress
EUROPEAN CONFERENCE ON OBJECT-ORIENTED PROGRAMMING;A+
EUROPEAN CONFERENCE ON WEB SERVICES;Work in Progress
EUROMICRO CONFERENCE ON REAL-TIME SYSTEMS;A
INTERNATIONAL CONFERENCE ON EMBEDDED COMPUTER SYSTEMS: ARCHITECTURES, MODELING, AND SIMULATION;Work in Progress
EUROPEAN CONFERENCE ON SOFTWARE ARCHITECTURE;B
EUROPEAN CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK;B
EUROPEAN CONFERENCE ON SYMBOLIC AND QUANTITATIVE APPROACHES TO REASONING WITH UNCERTAINTY;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRONICS COMPUTER TECHNOLOGY;Work in Progress
ELECTRONIC COMPONENTS AND TECHNOLOGY CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING/ELECTRONICS, COMPUTER, TELECOMMUNICATIONS AND INFORMATION TECHNOLOGY;Work in Progress
EUROPEAN CONFERENCE ON WIRELESS TECHNOLOGY;Work in Progress
WORLD CONFERENCE ON EDUCATIONAL MULTIMEDIA, HYPERMEDIA AND TELECOMMUNICATIONS;Work in Progress
EXTENDING DATABASE TECHNOLOGY;A
EDBT/ICDT WORKSHOPS;Work in Progress
EUROPEAN DEPENDABLE COMPUTING CONFERENCE;Work in Progress
EDUCATIONAL DATA MINING;B
IEEE INTERNATIONAL ENTERPRISE DISTRIBUTED OBJECT COMPUTING CONFERENCE;B
INTERNATIONAL CONFERENCE ON ELECTRON DEVICES AND SOLID-STATE CIRCUITS;Work in Progress
EUROPEAN DESIGN AND TEST CONFERENCE;Work in Progress
GLOBAL ENGINEERING EDUCATION CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON E-LEARNING AND GAMES;Work in Progress
INTERNATIONAL CONFERENCE ON E-PRODUCT E-SERVICE AND E-ENTERTAINMENT;Work in Progress
CONVENTION OF ELECTRICAL AND ELECTRONICS ENGINEERS IN ISRAEL;Work in Progress
INTERNATIONAL CONFERENCE ON ENVIRONMENT AND ELECTRICAL ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON THE EUROPEAN ENERGY MARKET;Work in Progress
EUROPEAN FREQUENCY AND TIME FORUM;Work in Progress
EUROPEAN GRID CONFERENCE;Not Rated (discontinued event)
ELECTRONIC GOVERNMENT;Work in Progress
EUROGRAPHICS SYMPOSIUM ON PARALLEL GRAPHICS AND VISUALIZATION;Work in Progress
EUROGRAPHICS SYMPOSIUM ON RENDERING TECHNIQUES;Work in Progress
EUROGRAPHICS SYMPOSIUM ON VIRTUAL ENVIRONMENTS;Work in Progress
NASA/DOD CONFERENCE ON EVOLVABLE HARDWARE;Work in Progress
ELECTRICAL INSULATION CONFERENCE;Work in Progress
ENGINEERING INTERACTIVE COMPUTING SYSTEM;Work in Progress
IEEE PES INTERNATIONAL CONFERENCE AND EXHIBITION ON INNOVATIVE SMART GRID TECHNOLOGIES;Work in Progress
EUROPEAN INTELLIGENCE AND SECURITY INFORMATICS CONFERENCE;Work in Progress
ELECTRO/INFORMATION TECHNOLOGY;Work in Progress
EUROPEAN-JAPANESE CONFERENCE ON INFORMATION MODELLING AND KNOWLEDGE BASES;Work in Progress
INTERNATIONAL CONFERENCE ON KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT;B
INTERNATIONAL CONFERENCE ON ELECTRICAL AND ELECTRONICS ENGINEERING;Work in Progress
INTERNATIONAL SYMPOSIUM ELMAR;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRONIC PUBLISHING;Work in Progress
INTERNATIONAL SYMPOSIUM ON ELECTROMAGNETIC LAUNCH TECHNOLOGY;Work in Progress
EMAS (MERGER OF DALT, AOSE AND PROMAS);Work in Progress
INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY;A-
INTERNATIONAL SYMPOSIUM ON ELECTROMAGNETIC COMPATIBILITY;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRONIC MEASUREMENT AND INSTRUMENTS;Work in Progress
ENERGY MINIMIZATION METHODS IN COMPUTER VISION AND PATTERN RECOGNITION;Work in Progress
EXPLORING MODELLING METHODS IN SYSTEMS ANALYSIS AND DESIGN;Work in Progress
IEEE WORKSHOP ON EMBEDDED NETWORKED SENSORS;Not Rated (discontinued event)
